Origin,Category,Employer / programme,Geography,Classification,Salary evidence result,Discovery / verification source,Notes,Source URL
Additional,Airport operations AI,ZestIoT,"Hyderabad, India",Expired,Salary source unavailable,Job listing mirror,"Operations Supervisor - Annotation; plans annotation work, final audits, and ML-ready delivery.",https://getmereferred.com/in/job-listing/operation-supervisor-annotation-zestiot-intshyderabad-2-to-5-years-experience-f5d4cd79-fb42-4746-a21e-d570c5175d59
Additional,University / AI and data science,KCA University,"Nairobi, Kenya",Included — role-scope evidence,Salary source unavailable,MyJobMag Kenya search,Graduate Assistant in Data Science and Artificial Intelligence; university technical-staff comparator.,https://www.myjobmag.co.ke/jobs-by-title/data-labeling-operations-manager
Additional,Public-interest data programmes,Food4Education,Kenya,Included — role-scope evidence,Salary source unavailable,MyJobMag Kenya search,Measurement Systems and Field Data Quality role surfaced through required directory search.,https://www.myjobmag.co.ke/jobs-by-title/data-labeling-operations-manager
Additional,Public infrastructure / data verification,Nairobi City Water and Sewerage Company,"Nairobi, Kenya",Included — role-scope evidence,Salary source unavailable,MyJobMag Kenya search,Data Verification Assistant roles; public-infrastructure data-quality comparator.,https://www.myjobmag.co.ke/jobs-by-title/data-labeling-operations-manager
Additional,Climate technology / machine learning,SunCulture Kenya,Kenya,Included — role-scope evidence,Salary source unavailable,MyJobMag Kenya search,Senior Data Scientist role; adjacent data/ML employer in climate and distributed operations.,https://www.myjobmag.co.ke/jobs-by-title/data-labeling-operations-manager
Additional,Healthcare AI,Nemi Health / OnTheGo Careers,Remote / North America,Included — role-family evidence,"Published role-rate guide, not employer payroll",Public role guide,"Lists medical annotation, healthcare data quality, dataset curation, and AI QA role rates; not treated as a local salary source.",https://www.nemi.health/downloads/OnTheGoCareers_JobDescriptions.pdf
Additional,AI training / evaluation,AI Jobs Kenya,Kenya / remote,Expired,Published salary evidence,LinkedIn employer listing,Data Annotator role; closed listing with stated USD-equivalent range and country-specific context.,https://ke.linkedin.com/jobs/view/data-annotator-remote-at-ai-jobs-4409167795
Additional,Media/data operations,Company3,"Toronto, Canada",Included — role-scope evidence,Published hourly wage in job-board listing,Indeed Canada listing,"Supervisor Data I/O; includes data movement, shipping, labeling, and delivery coordination.",https://emplois.ca.indeed.com/q-data-labeling-l-toronto%2C-on-emplois.html
Additional,Data labeling / contract delivery,Randstad,"Pune, India",Included — role-scope evidence,Salary source unavailable,Official Randstad search page,Process Executive - Data Labeling; fixed-term payroll contract with explicit equipment and schedule requirements.,https://www.randstad.com/jobs/s-administrative-support-services/r-data-process-executive/remote/
Additional,Regulator / public digital infrastructure,RURA Data Team,"Kigali, Rwanda",Expired,Salary source unavailable,Official RURA recruitment portal,"Data Engineer and Data Scientist specialist roles; technical scope is published, pay is not.",https://recruitment.rura.rw/jobs/data-engineer-specialist/details
Additional,Research / data quality,Laterite,"Kigali, Rwanda",Expired,Salary source unavailable,Job in Rwanda vacancy PDF,"Data Quality Analyst role; research-instrument coding, data quality controls, and analysis context.",https://www.jobinrwanda.com/sites/default/files/job_description_files/laterite-data-quality-analyst-rw-job-description-mar-20238f69ee05d0c1e1e9af649c149636655a.pdf
Requested,Telecom regulation / network operations,RURA technical recruitment — QOS Senior NOC Engineer and Mobile Networking QOS Field Engineer,"Kigali, Rwanda",Expired,Salary source unavailable,Official RURA written examination notice,"The 6 March 2026 notice explicitly names QOS Senior NOC Engineer, Mobile Networking QOS Field Engineer, and QOS Back Office Data Analysis Senior Engineer; this is role-family evidence, not a published salary.",https://www.rura.rw/fileadmin/user_upload/RURA/Announcements/RURA_Public_Notice_On_Written_Examination_.pdf
Requested,Telecom network testing,KT Rwanda Networks — Drive Test procurement,"Kigali, Rwanda",Screened but not comparable,No employee salary; procurement notice for Drive Test service provider,Official KTRN procurement PDF,"Direct drive-test technical signal, but this is a vendor procurement rather than an employee vacancy.",https://www.ktrn.rw/_files/ugd/bf402c_a348e7790fc34fad99ff9febc09e2a83.pdf
Requested,Global telecom engineering,Ericsson Rwanda — Integration Engineer,"Kigali, Rwanda",Included — role/scope evidence,Salary source unavailable,Official Ericsson job page,"BSS and charging-systems integration, deployment, configuration, testing, and customer technical delivery; salary not published.",https://jobs.ericsson.com/careers/job/563121775803428
Requested,Telecom network optimization,Nokia Rwanda — NPO Engineer,"Kigali, Rwanda",Recent role / benefit evidence,Salary source unavailable,Official LinkedIn job page,"Network performance optimization with 4G/5G, drive-test log analysis, NPO tools, and Ericsson/ZTE RAN exposure. The posting lists life insurance, wellbeing, learning, employee groups, and parental leave; salary is not published.",https://rw.linkedin.com/jobs/view/npo-engineer-at-nokia-4423102767
Requested,Telecom network operations,MTN Rwanda — technical and NOC career channel,"Kigali, Rwanda",Included — employer career channel,Salary source unavailable,Official MTN Rwanda careers,"Official Y’ello vacancies channel for departments, regions, and cities; use it for current network, operations, and engineering openings rather than assuming a salary.",https://www.mtn.co.rw/careers/
Requested,Telecom network operations,Airtel Rwanda — network engineering and paid internship channel,"Kigali, Rwanda",Included — employer career channel,Salary source unavailable,Official Airtel Rwanda careers,Airtel describes its network operations team and three-month paid internships; specific vacancy pay is not published on the reviewed page.,https://www.airtel.co.rw/career
Requested,Energy / utilities engineering,"Rwanda Energy Group — REG, EUCL and EDCL technical vacancies",Rwanda,Included — employer vacancy channel,Salary source unavailable,Official REG vacancies page,"Direct public-infrastructure employer channel for energy, electrical, maintenance, and engineering vacancies; no comparable role-specific pay was published on the reviewed page.",https://www.reg.rw/public-information/jobs/vacancies/
Requested,Social protection / public digital systems,Rwanda Social Security Board — RSSB careers,"Kigali, Rwanda",Included — active employer channel,Salary source unavailable,Official RSSB careers,"RSSB describes competitive salaries, benefits, and professional growth; the reviewed page showed Senior Officer, Partnerships open until 21 August 2026, but no amount.",https://rssb.rw/careers
Requested,Government digital transformation,Rwanda Development Board — IT contractual recruitment,"Kigali, Rwanda",Expired,Salary source unavailable,Official RDB careers and vacancy PDF,"RDB has published IT contractual recruitment and a careers channel; technical role evidence is present, but the reviewed posting did not publish comparable pay.",https://rdb.rw/wp-content/uploads/2025/09/JOB-ADVERT-FOR-IT-Contractual.pdf
Requested,Digital health / AI data engineering,CHAI Rwanda — Platform and AI Data Engineer,"Kigali, Rwanda",Expired,Salary source unavailable,Recent external vacancy summary and official CHAI careers,"January 2026 role summary described MLOps, data pipelines, platform reliability, security, and national health data governance; deadline passed and salary was not published.",https://www.clintonhealthaccess.org/careers/
Requested,Digital health product delivery,"CHAI Rwanda — Product Manager, Digital Health Systems","Kigali, Rwanda",Expired,Salary source unavailable,Official external application link,June 2026 listing described digital-health product delivery with government and health-system stakeholders; deadline 10 July 2026 and salary not published.,https://careers-chai.icims.com/jobs/15441/product-manager%2c-digital-health-systems/job
Requested,Health informatics / data operations,Partners In Health Rwanda / Inshuti Mu Buzima — health informatics and systems work,Rwanda,Included — role/scope evidence,Salary source unavailable,Official PIH Rwanda and PIH careers pages,"PIH Rwanda identifies health informatics, data collection, analysis, and health-information systems as part of its work; current salary evidence was not published.",https://pihrwanda.org/
Requested,Global health education / systems improvement,University of Global Health Equity — Systems Improvement Manager,"Kigali, Rwanda",Recent role / deadline evidence,Salary source unavailable,Official UGHE careers page and current job listings,UGHE careers lists Systems Improvement Manager in Kigali; the reviewed vacancy channel showed a 21 August 2026 deadline. No salary was published.,https://ughe.org/careers/
Requested,Technical maintenance / facilities,University of Global Health Equity — Campus Electrician,"Butaro, Rwanda",Expired,Salary source unavailable,Official UGHE careers page and Job in Rwanda listing,Maintenance/electrical role directly relevant to technical field experience; the reviewed deadline was 15 August 2026 and pay was not published.,https://ughe.org/careers/
Requested,Agricultural technology / data operations,Kivu Choice — Junior Data Analyst,"Kagano, Nyamasheke, Rwanda",Recent role / deadline evidence,Salary and benefits source available; amount unavailable,Official Kivu Choice careers page,"Current page showed Junior Data Analyst with a 20 August 2026 deadline and operational data/KPI responsibilities. Kivu Choice also states family medical insurance, performance bonuses, and annual reviews; no amount was published.",https://www.kivuchoice.com/careers
Requested,AI governance / public innovation,Centre for the Fourth Industrial Revolution Rwanda — AI Scaling Hub and AI governance roles,"Kigali, Rwanda",Included — active employer channel,Salary source unavailable,Official C4IR Rwanda careers,"Current openings include Program Manager, Head of Artificial Intelligence, and Lead, Data Governance & AI Safety; salary was not published.",https://c4ir.rw/jobs
Requested,AI / open data / African language technology,Digital Umuganda,"Kigali, Rwanda",Included — employer and career channel,Salary source unavailable,Official Digital Umuganda website,"AI and open-data company focused on African languages, voice technology, and inclusive access; the site invites interested professionals to contact the company, but no salary was published.",https://digitalumuganda.com/
Requested,Logistics technology / AI / data,"AGL Rwanda — AI Engineer, AI Product Owner, AI Architect and Power BI & Data Developer","Kigali, Rwanda",Recent employer vacancy evidence,Salary source unavailable,Official AGL Rwanda careers search,"The employer search showed 43 Rwanda openings including AI Engineer, AI Product Owner, AI Architect, Power BI & Data Developer, and Training & Technical Support Specialist; pay was not published.",https://acareerbyagl.talent-soft.com/Pages/Offre/ListeOffre.aspx?facet_Country=185&lcid=1033&mode=layer
Requested,Logistics systems / transformation,AGL Rwanda — IT Operational Excellence & Transformation Project Leader,"Kigali, Rwanda",Role-scope evidence,Salary source unavailable,Official AGL vacancy page,"Permanent role covering automation, digitalization, IT operations support, and transformation in Rwanda; salary was not published.",https://acareerbyagl.talent-soft.com/offre-de-emploi/emploi-it-operational-excellence-transformation-project-leader-m-f_9557.aspx
Requested,Development technology / consultancy benefits,GIZ Rwanda / Hanga Smart Cities technical consultancy,Rwanda,Benefits / per-diem evidence,"No employee salary; project TOR states RWF 17,000 departure/return day, RWF 25,000 full day, and RWF 34,000 accommodation",Job in Rwanda consultancy TOR,Project-specific reimbursable travel amounts; not a general employee salary or guaranteed benefit across employers.,https://www.jobinrwanda.com/job/expression-interest-eoi-consultancy-provision-end-end-support-solve-athon-hanga-smart-cities
Requested,Public-sector benefits / official missions,Rwanda public servants — official-mission allowances,Rwanda / international missions,Benefits / per-diem evidence,"Official rules provide accommodation, meals, transport, communication, and incidental-cost allowances; a contingency allowance can apply when those costs are covered elsewhere",Official Rwanda legal text,Policy evidence for public-service missions only; it must not be transferred to a private employer or treated as a monthly salary.,https://rwandalii.org/akn/rw/act/po/2017/44/eng@2017-03-06
Requested,AI community / cloud-work platform,TELUS Digital AI Community,Global remote; country eligibility varies,Included — platform opportunity,Salary source unavailable,Official TELUS Digital AI Community careers,"The official board showed 56 AI Community roles across multiple countries and remote formats; Rwanda was not visible in the reviewed country list, so each role requires an eligibility check.",https://jobs.telusdigital.com/search/cfm5/ai-community/jobs
Requested,AI data training / cloud-work platform,Welo Data / Welocalize — remote AI data trainer,"Saudi Arabia / Cairo, Egypt",Screened but not comparable,Published USD 24/hour; location and language restrictions exclude Rwanda for this listing,Official Lever job page,"Direct rate evidence for a task-based AI data trainer role, but the reviewed posting required Arabic and listed Saudi Arabia/Cairo; not treated as Rwanda-accessible.",https://jobs.lever.co/weloglobal/35aeb137-cc00-4707-9740-b0f2232145fe
Requested,AI data training / global remote,Invisible Agency — language specialist AI trainer,Worldwide remote; language-specific,Screened but not comparable,Salary source unavailable,Official Greenhouse job page,"World-wide remote role-family evidence, but the reviewed listing required Dutch Suriname/Caribbean specialization; not a Rwanda-specific opening.",https://boards.greenhouse.io/embed/job_app?for=agency&token=4655880101
Requested,AI data training / global remote,Wing Assistant — AI Trainer roles,Global / language-specific remote,Included — platform opportunity,Salary source unavailable,Official Lever careers board,Global and country/language-specific AI Trainer listings are visible; eligibility and pay vary by project and must be checked per listing.,https://jobs.lever.co/getwingapp/?department=Corporate
Requested,International remote engineering,Remote — Senior Forward Deployed Engineer (Remote Build),Global remote,Included — international remote role,Salary source unavailable,Official Remote job page,"Fully remote role with AI-enabled integrations, data pipelines, workflow automation, evaluation, reliability, and stakeholder delivery; the page says most roles are globally remote, subject to role restrictions.",https://remote.com/openings/7774935003
Requested,Pan-African AI and engineering,"ALX Africa — AI Engineer, LLMOps Engineer and Senior AI/ML Engineer",Remote / Africa,Included — active employer vacancy channel,Salary source unavailable,Official ALX Greenhouse board,"Current board showed AI Engineer, LLMOps Engineer, and Senior AI/ML Engineer roles marked remote; salary was not published.",https://job-boards.greenhouse.io/alxafrica?error=true
Requested,Pan-African technology discovery,Careers in Africa,Africa-wide,Included — discovery channel,No single salary source,Official Careers in Africa platform,"Africa-wide discovery channel covering specialist, leadership, and international roles; it is a job-search platform, not a salary source.",https://www.careersinafrica.com/
Requested,Africa-wide opportunity discovery,AllAfrica,Africa-wide,Screened but not comparable,No verified job-specific salary source,AllAfrica public site,AllAfrica is a news and information aggregator rather than a verified employer or compensation source; retained only to avoid confusing discovery channels with salary evidence.,https://allafrica.com/
